date,ip,port,asn,geo_country,jarm,ja3x,certificate_value
2024-08-28,47.97.253.62,8443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=jquery.com,OU=Certificate Authority,O=jQuery,L=,ST=,C=US"
2024-08-28,101.32.34.196,80,"AS132203 Tencent Building, Kejizhongyi Avenue",HK,07d14d16d21d21d00042d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926,2166164053c1_2166164053c1_30d204a01551,"CN=Jhon,OU=Advanced,O=Chrome,L=Somewhere,ST=baiduspace,C=Earth"
2024-08-28,49.232.227.129,50050,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,49.232.227.129,5003,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_000000000000,"CN=127.0.0.1,OU=Web Security,O=Example Inc.,L=Shanghai,ST=Shanghai,C=CN"
2024-08-28,8.138.96.210,443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",SG,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-28,8.138.96.210,50050,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",SG,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Pwn3rs Striked,OU=AdvancedReversing,O=Pwn3rs,L=Around,ST=Over,C=There"
2024-08-28,8.138.96.210,3443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",SG,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,a373a9f83c6b_7022c563de38_aadcd8838c21,CN=awvs.lan
2024-08-28,20.102.28.136,443,AS8075 Microsoft Corporation,US,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,a373a9f83c6b_7022c563de38_821a8ec155c6,"CN=R3,O=Let's Encrypt,C=US"
2024-08-28,47.103.135.162,4433,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,3fd21b20d3fd3fd21c43d21b21b43d50c8594d0a42335f3aca21f0ce31ac7c,000000000000_000000000000_000000000000,
2024-08-28,47.103.135.162,443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,3fd21b20d3fd3fd21c43d21b21b43d50c8594d0a42335f3aca21f0ce31ac7c,000000000000_000000000000_000000000000,
2024-08-28,47.103.135.162,30050,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,3fd21b20d3fd3fd21c43d21b21b43d50c8594d0a42335f3aca21f0ce31ac7c,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,47.103.135.162,8443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,3fd21b20d3fd3fd21c43d21b21b43d50c8594d0a42335f3aca21f0ce31ac7c,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-28,47.120.60.201,8443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
